formula, size, congruence, reverse, result 
P0.5N2L10.form372, 10, 0, 0, true
P0.5N2L10.form373, 13, 0, 0, true
P0.5N2L10.form374, 19, 2, 0, true
P0.5N2L10.form375, 13, 0, 0, true
P0.5N2L10.form376, 13, 9, 0, true
P0.5N2L10.form377, 16, 5, 1, true
P0.5N2L10.form378, 10, 0, 1, true
P0.5N2L10.form379, 13, 0, 1, true
P0.5N2L10.form380, 13, 1, 0, true
P0.5N2L10.form381, 13, 6, 0, true
P0.5N2L10.form382, 16, 2, 1, true
P0.5N2L10.form383, 10, 0, 0, true
P0.5N2L10.form384, 16, 20, 2, true
P0.5N2L10.form385, 13, 8, 2, true
P0.5N2L10.form386, 13, 0, 1, true
P0.5N2L10.form387, 13, 0, 1, true
P0.5N2L10.form388, 16, 13, 0, true
P0.5N2L10.form389, 16, 2, 0, true
P0.5N2L10.form390, 19, 12, 0, true
P0.5N2L10.form391, 13, 4, 0, true
P0.5N2L10.form392, 13, 5, 1, true
P0.5N2L10.form393, 13, 0, 1, true
P0.5N2L10.form394, 10, 0, 0, true
P0.5N2L10.form395, 13, 3, 1, true
P0.5N2L10.form396, 13, 0, 1, true
P0.5N2L10.form397, 10, 1, 0, true
P0.5N2L10.form398, 19, 6, 0, true
P0.5N2L10.form399, 10, 2, 1, true
P0.5N2L10.form400, 16, 2, 0, true
P0.5N2L10.form401, 13, 0, 0, true
P0.5N2L10.form402, 13, 0, 0, true
P0.5N2L10.form403, 16, 3, 0, true
P0.5N2L10.form404, 16, 5, 1, true
P0.5N2L10.form405, 16, 10, 0, true
P0.5N2L10.form406, 10, 0, 1, true
P0.5N2L10.form407, 13, 2, 0, true
P0.5N2L10.form408, 16, 8, 1, true
P0.5N2L10.form409, 13, 1, 0, true
P0.5N2L10.form410, 13, 21, 2, true
P0.5N2L10.form411, 13, 4, 1, true
P0.5N2L10.form412, 13, 0, 1, true
P0.5N2L10.form413, 10, 4, 0, true
P0.5N2L10.form414, 13, 1, 0, true
P0.5N2L10.form415, 10, 1, 0, true
P0.5N2L10.form416, 16, 5, 1, true
P0.5N2L10.form417, 13, 0, 0, true
P0.5N2L10.form418, 13, 6, 1, true
P0.5N2L10.form419, 13, 6, 0, true
P0.5N2L10.form420, 13, 7, 2, true
P0.5N2L10.form421, 13, 4, 1, true
P0.5N2L10.form422, 13, 0, 1, true
P0.5N2L10.form423, 16, 2, 0, true
P0.5N2L10.form424, 16, 3, 0, true
P0.5N2L10.form425, 13, 5, 1, true
P0.5N2L10.form426, 10, 6, 1, true
P0.5N2L10.form427, 10, 3, 0, true
P0.5N2L10.form428, 19, 13, 1, true
P0.5N2L10.form429, 10, 5, 2, true
P0.5N2L10.form430, 16, 6, 1, true
P0.5N2L10.form431, 13, 2, 0, true
P0.5N2L10.form432, 13, 4, 0, true
P0.5N2L10.form433, 13, 1, 0, true
P0.5N2L10.form434, 10, 0, 1, true
P0.5N2L10.form435, 19, 12, 0, true
P0.5N2L10.form436, 10, 1, 0, true
P0.5N2L10.form437, 10, 4, 1, true
P0.5N2L10.form438, 13, 4, 0, true
P0.5N2L10.form439, 16, 10, 1, true
P0.5N2L10.form440, 16, 6, 0, true
P0.5N2L10.form441, 13, 1, 0, true
P0.5N2L10.form442, 16, 2, 1, true
P0.5N2L10.form443, 13, 7, 1, true
P0.5N2L10.form444, 16, 2, 1, true
P0.5N2L10.form445, 16, 0, 1, true
P0.5N2L10.form446, 13, 1, 1, true
P0.5N2L10.form447, 13, 0, 1, true
P0.5N2L10.form448, 10, 1, 2, true
P0.5N2L10.form449, 10, 0, 1, true
P0.5N2L10.form450, 13, 0, 0, true
P0.5N2L10.form451, 16, 4, 1, true
P0.5N2L10.form452, 22, 13, 0, true
P0.5N2L10.form453, 13, 1, 0, true
P0.5N2L10.form454, 10, 5, 0, true
P0.5N2L10.form455, 19, 4, 0, true
P0.5N2L10.form456, 13, 1, 0, true
P0.5N2L10.form457, 16, 6, 1, true
P0.5N2L10.form458, 16, 13, 1, true
P0.5N2L10.form459, 10, 0, 0, true
P0.5N2L10.form460, 10, 3, 0, true
P0.5N2L10.form461, 13, 4, 1, true
P0.5N2L10.form462, 13, 1, 1, true
P0.5N2L10.form463, 13, 9, 1, true
P0.5N2L10.form464, 10, 1, 0, true
P0.5N2L10.form465, 13, 1, 0, true
P0.5N2L10.form466, 16, 9, 2, true
P0.5N2L10.form467, 13, 4, 1, true
P0.5N2L10.form468, 13, 1, 0, true
P0.5N2L10.form469, 16, 7, 0, true
P0.5N2L10.form470, 13, 0, 0, true
P0.5N2L10.form471, 13, 2, 1, true
P0.5N2L10.form472, 13, 0, 0, true
P0.5N2L10.form473, 16, 7, 1, true
P0.5N2L10.form474, 13, 4, 0, true
P0.5N2L10.form475, 13, 0, 1, true
P0.5N2L10.form476, 10, 0, 1, true
P0.5N2L10.form477, 10, 2, 0, true
P0.5N2L10.form478, 13, 0, 0, true
P0.5N2L10.form479, 13, 1, 0, true
P0.5N2L10.form480, 13, 16, 1, true
P0.5N2L10.form481, 10, 4, 1, true
P0.5N2L10.form482, 13, 3, 0, true
P0.5N2L10.form483, 10, 2, 0, true
P0.5N2L10.form484, 10, 0, 0, true
P0.5N2L10.form485, 16, 3, 0, true
P0.5N2L10.form486, 13, 15, 1, true
P0.5N2L10.form487, 16, 9, 0, true
P0.5N2L10.form488, 10, 2, 1, true
P0.5N2L10.form489, 13, 0, 0, true
P0.5N2L10.form490, 10, 0, 1, true
P0.5N2L10.form491, 13, 4, 1, true
P0.5N2L10.form492, 13, 1, 1, true
P0.5N2L10.form493, 13, 2, 1, true
P0.5N2L10.form494, 13, 10, 3, true
P0.5N2L10.form495, 19, 5, 1, true
P0.5N2L10.form496, 13, 3, 0, true
P0.5N2L10.form497, 13, 1, 0, true
P0.5N2L10.form498, 10, 0, 0, true
P0.5N2L10.form499, 13, 3, 0, true
P0.5N2L100.form, 136, TO, 34, true
P0.5N2L100.form1, 127, 83, 28, true
P0.5N2L100.form2, 130, 0, 31, true
P0.5N2L100.form3, 142, 2, 31, true
P0.5N2L100.form4, 133, 36, 36, true
P0.5N2L100.form5, 157, 28, 44, true
P0.5N2L100.form6, 139, 270, 14, true
P0.5N2L100.form7, 127, 1, 14, true
P0.5N2L100.form8, 142, 19, 17, true
P0.5N2L100.form9, 130, 31, 15, true
P0.5N2L100.form10, 130, 0, 75, true
P0.5N2L100.form11, 130, 0, 24, true
P0.5N2L100.form12, 136, 58, 24, true
P0.5N2L100.form13, 130, 2, 34, true
P0.5N2L100.form14, 139, 0, 149, true
P0.5N2L100.form15, 136, 5, 52, true
P0.5N2L100.form16, 130, 11, 12, true
P0.5N2L100.form17, 148, 1311, 51, true
P0.5N2L100.form18, 136, 48, 30, true
P0.5N2L100.form19, 130, 0, 55, true
P0.5N2L100.form20, 133, 0, 20, true
P0.5N2L100.form21, 136, 0, 21, true
P0.5N2L100.form22, 145, 1, 43, true
P0.5N2L100.form23, 142, 897, 20, true
P0.5N2L100.form24, 145, 1255, 41, true
P0.5N2L100.form25, 151, 0, 24, true
P0.5N2L100.form26, 151, 1520, 39, true
P0.5N2L100.form27, 139, TO, 83, true
P0.5N2L100.form28, 145, TO, 63, true
P0.5N2L100.form29, 130, 1665, 119, true
P0.5N2L100.form30, 121, TO, 58, true
P0.5N2L100.form31, 124, 4, 18, true
P0.5N2L100.form32, 142, 1, 44, true
P0.5N2L100.form33, 139, TO, 38, true
P0.5N2L100.form34, 130, 0, 19, true
P0.5N2L100.form35, 136, 34, 18, true
P0.5N2L100.form36, 154, 1374, 37, true
P0.5N2L100.form37, 154, 22, 17, true
P0.5N2L100.form38, 124, TO, 39, true
P0.5N2L100.form39, 151, TO, 47, true
P0.5N2L100.form40, 154, 229, 101, true
P0.5N2L100.form41, 148, 28, 32, true
P0.5N2L100.form42, 148, 0, 126, true
P0.5N2L100.form43, 142, 657, 106, true
P0.5N2L100.form44, 136, 0, 121, true
P0.5N2L100.form45, 139, 1, 39, true
P0.5N2L100.form46, 127, 140, 13, true
P0.5N2L100.form47, 139, TO, 27, true
P0.5N2L100.form48, 145, 1, 28, true
P0.5N2L100.form49, 130, 129, 19, true
P0.5N2L100.form50, 130, 234, 32, true
P0.5N2L100.form51, 139, 0, 37, true
P0.5N2L100.form52, 124, 7, 66, true
P0.5N2L100.form53, 124, TO, 32, true
P0.5N2L100.form54, 136, 6, 21, true
P0.5N2L100.form55, 133, 0, 22, true
P0.5N2L100.form56, 139, 1515, 42, true
P0.5N2L100.form57, 142, 1, 37, true
P0.5N2L100.form58, 130, 25, 23, true
P0.5N2L100.form59, 139, TO, 24, true
P0.5N2L100.form60, 136, 78, 50, true
P0.5N2L100.form61, 127, 455, 41, true
