formula, size, congruence-pq, total, solver, subsumption
P0.5N2L10.form373, 13, 0, 0, 0
P0.5N2L10.form374, 19, 2, 0, 2
P0.5N2L10.form375, 13, 0, 0, 0
P0.5N2L10.form376, 13, 6, 0, 5
P0.5N2L10.form377, 16, 5, 0, 4
P0.5N2L10.form378, 10, 1, 0, 0
P0.5N2L10.form379, 13, 1, 0, 0
P0.5N2L10.form380, 13, 1, 0, 1
P0.5N2L10.form381, 13, 4, 1, 3
P0.5N2L10.form382, 16, 3, 0, 2
P0.5N2L10.form383, 10, 1, 0, 1
P0.5N2L10.form384, 16, 6, 0, 5
P0.5N2L10.form385, 13, 4, 0, 4
P0.5N2L10.form386, 13, 0, 0, 0
P0.5N2L10.form387, 13, 1, 0, 0
P0.5N2L10.form388, 16, 9, 0, 7
P0.5N2L10.form389, 16, 1, 0, 1
P0.5N2L10.form390, 19, 10, 0, 8
P0.5N2L10.form391, 13, 3, 0, 3
P0.5N2L10.form392, 13, 4, 0, 4
P0.5N2L10.form393, 13, 0, 0, 0
P0.5N2L10.form394, 10, 0, 0, 0
P0.5N2L10.form395, 13, 3, 0, 1
P0.5N2L10.form396, 13, 0, 0, 0
P0.5N2L10.form397, 10, 0, 0, 0
P0.5N2L10.form398, 19, 5, 0, 4
P0.5N2L10.form399, 10, 2, 1, 1
P0.5N2L10.form400, 16, 2, 1, 1
P0.5N2L10.form401, 13, 0, 0, 0
P0.5N2L10.form402, 13, 0, 0, 0
P0.5N2L10.form403, 16, 2, 0, 1
P0.5N2L10.form404, 16, 5, 0, 5
P0.5N2L10.form405, 16, 7, 0, 5
P0.5N2L10.form406, 10, 0, 0, 0
P0.5N2L10.form407, 13, 2, 0, 2
P0.5N2L10.form408, 16, 6, 0, 5
P0.5N2L10.form409, 13, 1, 0, 1
P0.5N2L10.form410, 13, 16, 0, 13
P0.5N2L10.form411, 13, 3, 0, 3
P0.5N2L10.form412, 13, 0, 0, 0
P0.5N2L10.form413, 10, 3, 0, 3
P0.5N2L10.form414, 13, 0, 0, 0
P0.5N2L10.form415, 10, 0, 0, 0
P0.5N2L10.form416, 16, 5, 0, 5
P0.5N2L10.form417, 13, 0, 0, 0
P0.5N2L10.form418, 13, 7, 1, 3
P0.5N2L10.form419, 13, 4, 0, 4
P0.5N2L10.form420, 13, 4, 0, 4
P0.5N2L10.form421, 13, 3, 0, 3
P0.5N2L10.form422, 13, 0, 0, 0
P0.5N2L10.form423, 16, 2, 0, 2
P0.5N2L10.form424, 16, 2, 0, 1
P0.5N2L10.form425, 13, 3, 0, 3
P0.5N2L10.form426, 10, 5, 0, 5
P0.5N2L10.form427, 10, 2, 1, 1
P0.5N2L10.form428, 19, 7, 0, 3
P0.5N2L10.form429, 10, 4, 0, 3
P0.5N2L10.form430, 16, 6, 0, 4
P0.5N2L10.form431, 13, 1, 0, 1
P0.5N2L10.form432, 13, 3, 0, 2
P0.5N2L10.form433, 13, 0, 0, 0
P0.5N2L10.form434, 10, 0, 0, 0
P0.5N2L10.form435, 19, 9, 0, 6
P0.5N2L10.form436, 10, 0, 0, 0
P0.5N2L10.form437, 10, 4, 0, 4
P0.5N2L10.form438, 13, 3, 0, 3
P0.5N2L10.form439, 16, 5, 0, 5
P0.5N2L10.form440, 16, 4, 0, 4
P0.5N2L10.form441, 13, 0, 0, 0
P0.5N2L10.form442, 16, 3, 0, 3
P0.5N2L10.form443, 13, 5, 0, 4
P0.5N2L10.form444, 16, 1, 0, 1
P0.5N2L10.form445, 16, 0, 0, 0
P0.5N2L10.form446, 13, 1, 0, 1
P0.5N2L10.form447, 13, 0, 0, 0
P0.5N2L10.form448, 10, 1, 0, 1
P0.5N2L10.form449, 10, 0, 0, 0
P0.5N2L10.form450, 13, 0, 0, 0
P0.5N2L10.form451, 16, 6, 0, 6
P0.5N2L10.form452, 22, 9, 0, 6
P0.5N2L10.form453, 13, 1, 0, 1
P0.5N2L10.form454, 10, 5, 1, 4
