formula, size, total, solver, subsumption, reverse
P0.5N2L10.form171, 10, 0, 0, 0, 
P0.5N2L10.form172, 10, 1, 1, 0, 
P0.5N2L10.form173, 16, 0, 0, 0, 
P0.5N2L10.form174, 13, 0, 0, 0, 
P0.5N2L10.form175, 16, 0, 0, 0, 
P0.5N2L10.form176, 16, 0, 0, 0, 
P0.5N2L10.form177, 13, 0, 0, 0, 
P0.5N2L10.form178, 10, 0, 0, 0, 
P0.5N2L10.form179, 13, 0, 0, 0, 
P0.5N2L10.form180, 13, 1, 1, 0, 
P0.5N2L10.form181, 13, 0, 0, 0, 
P0.5N2L10.form182, 16, 0, 0, 0, 
P0.5N2L10.form183, 13, 0, 0, 0, 
P0.5N2L10.form184, 16, 0, 0, 0, 
P0.5N2L10.form185, 13, 0, 0, 0, 
P0.5N2L10.form186, 10, 0, 0, 0, 
P0.5N2L10.form187, 13, 0, 0, 0, 
P0.5N2L10.form188, 13, 0, 0, 0, 
P0.5N2L10.form189, 13, 0, 0, 0, 
P0.5N2L10.form190, 13, 1, 1, 0, 
P0.5N2L10.form191, 10, 0, 0, 0, 
P0.5N2L10.form192, 10, 1, 0, 0, 
P0.5N2L10.form193, 10, 0, 0, 0, 
P0.5N2L10.form194, 10, 1, 0, 0, 
P0.5N2L10.form195, 16, 0, 0, 0, 
P0.5N2L10.form196, 10, 0, 0, 0, 
P0.5N2L10.form197, 19, 0, 0, 0, 
P0.5N2L10.form198, 13, 0, 0, 0, 
P0.5N2L10.form199, 13, 0, 0, 0, 
P0.5N2L10.form200, 16, 2, 1, 1, 
P0.5N2L10.form201, 13, 0, 0, 0, 
P0.5N2L10.form202, 10, 0, 0, 0, 
P0.5N2L10.form203, 16, 0, 0, 0, 
P0.5N2L10.form204, 10, 0, 0, 0, 
P0.5N2L10.form205, 10, 0, 0, 0, 
P0.5N2L10.form206, 13, 0, 0, 0, 
P0.5N2L10.form207, 13, 0, 0, 0, 
P0.5N2L10.form208, 13, 1, 0, 0, 
P0.5N2L10.form209, 13, 0, 0, 0, 
P0.5N2L10.form210, 16, 0, 0, 0, 
P0.5N2L10.form211, 10, 0, 0, 0, 
P0.5N2L10.form212, 10, 1, 1, 0, 
P0.5N2L10.form213, 10, 0, 0, 0, 
