formula, size, total, solver, subsumption, reverse
P0.5N2L10.form461, 13, 3, 0, 0, 
P0.5N2L10.form462, 13, 3, 0, 1, 
P0.5N2L10.form463, 13, 2, 0, 0, 
P0.5N2L10.form464, 10, 3, 0, 0, 
P0.5N2L10.form465, 13, 5, 0, 0, 
P0.5N2L10.form466, 16, 5, 0, 0, 
P0.5N2L10.form467, 13, 3, 0, 0, 
P0.5N2L10.form468, 13, 2, 0, 0, 
P0.5N2L10.form469, 16, 3, 0, 1, 
P0.5N2L10.form470, 13, 3, 0, 0, 
P0.5N2L10.form471, 13, 3, 0, 0, 
P0.5N2L10.form472, 13, 3, 1, 0, 
P0.5N2L10.form473, 16, 3, 0, 0, 
P0.5N2L10.form474, 13, 2, 0, 0, 
P0.5N2L10.form475, 13, 3, 0, 0, 
P0.5N2L10.form476, 10, 3, 0, 0, 
P0.5N2L10.form477, 10, 3, 0, 0, 
P0.5N2L10.form478, 13, 3, 1, 0, 
P0.5N2L10.form479, 13, 5, 0, 0, 
P0.5N2L10.form480, 13, 5, 0, 0, 
P0.5N2L10.form481, 10, 2, 0, 0, 
P0.5N2L10.form482, 13, 3, 0, 0, 
P0.5N2L10.form483, 10, 2, 0, 0, 
P0.5N2L10.form484, 10, 2, 0, 0, 
P0.5N2L10.form485, 16, 2, 0, 0, 
P0.5N2L10.form486, 13, 15, 4, 0, 
P0.5N2L10.form487, 16, 8, 1, 0, 
